Date,Ticker,Closing Price,Dividend Amount
2020-09-09,AGNC,14.199999809265137,0.0
2020-09-10,AGNC,14.210000038146973,0.0
2020-09-11,AGNC,14.109999656677246,0.0
2020-09-14,AGNC,14.569999694824219,0.0
2020-09-15,AGNC,14.5,0.0
2020-09-16,AGNC,14.609999656677246,0.0
2020-09-17,AGNC,14.600000381469727,0.0
2020-09-18,AGNC,14.510000228881836,0.0
2020-09-21,AGNC,14.289999961853027,0.0
2020-09-22,AGNC,14.270000457763672,0.0
2020-09-23,AGNC,13.979999542236328,0.0
2020-09-24,AGNC,13.859999656677246,0.0
2020-09-25,AGNC,14.0,0.0
2020-09-28,AGNC,14.270000457763672,0.0
2020-09-29,AGNC,13.920000076293945,0.12
2020-09-30,AGNC,13.90999984741211,0.0
2020-10-01,AGNC,13.899999618530273,0.0
2020-10-02,AGNC,13.9399995803833,0.0
2020-10-05,AGNC,14.0,0.0
2020-10-06,AGNC,13.9399995803833,0.0
2020-10-07,AGNC,13.989999771118164,0.0
2020-10-08,AGNC,14.220000267028809,0.0
2020-10-09,AGNC,14.069999694824219,0.0
2020-10-12,AGNC,14.1899995803833,0.0
2020-10-13,AGNC,14.029999732971191,0.0
2020-10-14,AGNC,14.119999885559082,0.0
2020-10-15,AGNC,14.180000305175781,0.0
2020-10-16,AGNC,14.109999656677246,0.0
2020-10-19,AGNC,14.029999732971191,0.0
2020-10-20,AGNC,14.029999732971191,0.0
2020-10-21,AGNC,13.869999885559082,0.0
2020-10-22,AGNC,13.989999771118164,0.0
2020-10-23,AGNC,14.1899995803833,0.0
2020-10-26,AGNC,14.09000015258789,0.0
2020-10-27,AGNC,14.25,0.0
2020-10-28,AGNC,14.029999732971191,0.0
2020-10-29,AGNC,14.100000381469727,0.12
2020-10-30,AGNC,13.970000267028809,0.0
2020-11-02,AGNC,13.989999771118164,0.0
2020-11-03,AGNC,13.9399995803833,0.0
2020-11-04,AGNC,14.069999694824219,0.0
2020-11-05,AGNC,14.239999771118164,0.0
2020-11-06,AGNC,14.109999656677246,0.0
2020-11-09,AGNC,14.149999618530273,0.0
2020-11-10,AGNC,14.859999656677246,0.0
2020-11-11,AGNC,14.520000457763672,0.0
2020-11-12,AGNC,14.529999732971191,0.0
2020-11-13,AGNC,14.869999885559082,0.0
2020-11-16,AGNC,15.0600004196167,0.0
2020-11-17,AGNC,15.220000267028809,0.0
2020-11-18,AGNC,15.25,0.0
2020-11-19,AGNC,15.09000015258789,0.0
2020-11-20,AGNC,15.210000038146973,0.0
2020-11-23,AGNC,15.449999809265137,0.0
2020-11-24,AGNC,15.699999809265137,0.0
2020-11-25,AGNC,15.649999618530273,0.0
2020-11-27,AGNC,15.569999694824219,0.12
2020-11-30,AGNC,15.279999732971191,0.0
2020-12-01,AGNC,15.34000015258789,0.0
2020-12-02,AGNC,15.319999694824219,0.0
2020-12-03,AGNC,15.40999984741211,0.0
2020-12-04,AGNC,15.539999961853027,0.0
2020-12-07,AGNC,15.479999542236328,0.0
2020-12-08,AGNC,15.59000015258789,0.0
2020-12-09,AGNC,15.600000381469727,0.0
2020-12-10,AGNC,15.5,0.0
2020-12-11,AGNC,15.319999694824219,0.0
2020-12-14,AGNC,15.300000190734863,0.0
2020-12-15,AGNC,15.430000305175781,0.0
2020-12-16,AGNC,15.430000305175781,0.0
2020-12-17,AGNC,15.460000038146973,0.0
2020-12-18,AGNC,15.420000076293945,0.0
2020-12-21,AGNC,15.430000305175781,0.0
2020-12-22,AGNC,15.430000305175781,0.0
2020-12-23,AGNC,15.670000076293945,0.0
2020-12-24,AGNC,15.569999694824219,0.0
2020-12-28,AGNC,15.640000343322754,0.0
2020-12-29,AGNC,15.579999923706055,0.0
2020-12-30,AGNC,15.569999694824219,0.12
2020-12-31,AGNC,15.600000381469727,0.0
2021-01-04,AGNC,15.390000343322754,0.0
2021-01-05,AGNC,15.3100004196167,0.0
2021-01-06,AGNC,15.369999885559082,0.0
2021-01-07,AGNC,15.430000305175781,0.0
2021-01-08,AGNC,15.539999961853027,0.0
2021-01-11,AGNC,15.380000114440918,0.0
2021-01-12,AGNC,15.5600004196167,0.0
2021-01-13,AGNC,15.520000457763672,0.0
2021-01-14,AGNC,15.619999885559082,0.0
2021-01-15,AGNC,15.649999618530273,0.0
2021-01-19,AGNC,15.789999961853027,0.0
2021-01-20,AGNC,15.899999618530273,0.0
2021-01-21,AGNC,16.09000015258789,0.0
2021-01-22,AGNC,16.139999389648438,0.0
2021-01-25,AGNC,16.25,0.0
2021-01-26,AGNC,16.15999984741211,0.0
2021-01-27,AGNC,15.789999961853027,0.0
2021-01-28,AGNC,15.819999694824219,0.12
2021-01-29,AGNC,15.600000381469727,0.0
2021-02-01,AGNC,15.890000343322754,0.0
2021-02-02,AGNC,16.079999923706055,0.0
2021-02-03,AGNC,16.100000381469727,0.0
2021-02-04,AGNC,16.170000076293945,0.0
2021-02-05,AGNC,16.299999237060547,0.0
2021-02-08,AGNC,16.280000686645508,0.0
2021-02-09,AGNC,16.290000915527344,0.0
2021-02-10,AGNC,16.3799991607666,0.0
2021-02-11,AGNC,16.3700008392334,0.0
2021-02-12,AGNC,16.350000381469727,0.0
2021-02-16,AGNC,16.43000030517578,0.0
2021-02-17,AGNC,16.309999465942383,0.0
2021-02-18,AGNC,16.100000381469727,0.0
2021-02-19,AGNC,16.459999084472656,0.0
2021-02-22,AGNC,16.510000228881836,0.0
2021-02-23,AGNC,16.329999923706055,0.0
2021-02-24,AGNC,16.579999923706055,0.0
2021-02-25,AGNC,15.989999771118164,0.12
2021-02-26,AGNC,16.030000686645508,0.0
2021-03-01,AGNC,15.960000038146973,0.0
2021-03-02,AGNC,16.139999389648438,0.0
2021-03-03,AGNC,15.989999771118164,0.0
2021-03-04,AGNC,15.920000076293945,0.0
2021-03-05,AGNC,15.899999618530273,0.0
2021-03-08,AGNC,16.329999923706055,0.0
2021-03-09,AGNC,16.350000381469727,0.0
2021-03-10,AGNC,16.399999618530273,0.0
2021-03-11,AGNC,16.309999465942383,0.0
2021-03-12,AGNC,16.469999313354492,0.0
2021-03-15,AGNC,16.520000457763672,0.0
2021-03-16,AGNC,16.479999542236328,0.0
2021-03-17,AGNC,16.68000030517578,0.0
2021-03-18,AGNC,16.5,0.0
2021-03-19,AGNC,16.59000015258789,0.0
2021-03-22,AGNC,16.670000076293945,0.0
2021-03-23,AGNC,16.559999465942383,0.0
2021-03-24,AGNC,16.549999237060547,0.0
2021-03-25,AGNC,16.790000915527344,0.0
2021-03-26,AGNC,17.020000457763672,0.0
2021-03-29,AGNC,16.760000228881836,0.0
2021-03-30,AGNC,16.889999389648438,0.12
2021-03-31,AGNC,16.760000228881836,0.0
